SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
RELIANCE,1750283.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1.0
TCS,1374873.0,IT - Software,Information Technology,Information Technology,1.0
HDFCBANK,1297213.0,Banks,Financial Services,Financial Services,1.0
ICICIBANK,700333.0,Banks,Financial Services,Financial Services,1.0
INFY,640269.0,IT - Software,Information Technology,Information Technology,1.0
HINDUNILVR,624921.0,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
BHARTIARTL,579043.0,Telecom - Services,Telecommunication,Telecommunication,1.0
ITC,576373.0,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
SBIN,572692.0,Banks,Financial Services,Financial Services,1.0
LICI,524058.0,Insurance,Financial Services,Financial Services,0.0
LT,483841.0,Construction,Construction,Industrials,1.0
BAJFINANCE,452084.0,Finance,Financial Services,Financial Services,1.0
HCLTECH,398366.0,IT - Software,Information Technology,Information Technology,1.0
KOTAKBANK,378426.0,Banks,Financial Services,Financial Services,1.0
AXISBANK,339273.0,Banks,Financial Services,Financial Services,1.0
TITAN,327229.0,Consumer Durables,Consumer Durables,Consumer Discretionary,1.0
ASIANPAINT,325624.0,Consumer Durables,Consumer Durables,Consumer Discretionary,1.0
ADANIENT,324792.0,Metals & Minerals Trading,Metals & Mining,Commodities,1.0
MARUTI,323893.0,Automobiles,Automobile and Auto Components,Consumer Discretionary,1.0
ULTRACEMCO,302611.0,Cement & Cement Products,Construction Materials,Commodities,1.0
SUNPHARMA,302328.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
NTPC,301081.0,Power,Power,Utilities,1.0
BAJAJFINSV,269319.0,Finance,Financial Services,Financial Services,1.0
DMART,264198.0,Retailing,Consumer Services,Consumer Discretionary,0.0
TATAMOTORS,258983.0,Automobiles,Automobile and Auto Components,Consumer Discretionary,1.0
ONGC,258525.0,Oil,Oil Gas & Consumable Fuels,Energy,1.0
NESTLEIND,256880.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
ADANIGREEN,253920.0,Power,Power,Utilities,0.0
WIPRO,245957.0,IT - Software,Information Technology,Information Technology,1.0
COALINDIA,231842.0,Consumable Fuels,Oil Gas & Consumable Fuels,Energy,1.0
ADANIPORTS,220982.0,Transport Infrastructure,Services,Services,1.0
POWERGRID,220099.0,Power,Power,Utilities,1.0
JSWSTEEL,214711.0,Ferrous Metals,Metals & Mining,Commodities,1.0
M&M,214509.0,Automobiles,Automobile and Auto Components,Consumer Discretionary,1.0
ADANIPOWER,201718.0,Power,Power,Utilities,0.0
BAJAJ-AUTO,193129.0,Automobiles,Automobile and Auto Components,Consumer Discretionary,1.0
HAL,187591.0,Aerospace & Defense,Capital Goods,Industrials,1.0
LTIM,185850.0,IT - Software,Information Technology,Information Technology,1.0
IOC,183435.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1.0
DLF,179213.0,Realty,Realty,Consumer Discretionary,1.0
TATASTEEL,171302.0,Ferrous Metals,Metals & Mining,Commodities,1.0
VBL,160713.0,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
JIOFIN,148000.0,Finance,Financial Services,Financial Services,0.0
SBILIFE,143388.0,Insurance,Financial Services,Financial Services,1.0
SIEMENS,143018.0,Electrical Equipment,Capital Goods,Industrials,1.0
GRASIM,140411.0,Cement & Cement Products,Construction Materials,Commodities,1.0
HDFCLIFE,138976.0,Insurance,Financial Services,Financial Services,1.0
HINDALCO,138035.0,Non - Ferrous Metals,Metals & Mining,Commodities,1.0
PIDILITIND,137836.0,Chemicals & Petrochemicals,Chemicals,Commodities,1.0
HINDZINC,134281.0,Non - Ferrous Metals,Metals & Mining,Commodities,0.0
BEL,134134.0,Aerospace & Defense,Capital Goods,Industrials,1.0
IRFC,129509.0,Finance,Financial Services,Financial Services,0.0
BRITANNIA,128643.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
PFC,126196.0,Finance,Financial Services,Financial Services,1.0
TECHM,124246.0,IT - Software,Information Technology,Information Technology,1.0
INDUSINDBK,124118.0,Banks,Financial Services,Financial Services,1.0
BANKBARODA,119381.0,Banks,Financial Services,Financial Services,1.0
ADANIENSOL,116357.0,Power,Power,Utilities,0.0
GODREJCP,115476.0,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
INDIGO,114047.0,Transport Services,Services,Services,1.0
EICHERMOT,113124.0,Automobiles,Automobile and Auto Components,Consumer Discretionary,1.0
ATGL,108529.0,Gas,Oil Gas & Consumable Fuels,Energy,0.0
TRENT,108450.0,Retailing,Consumer Services,Consumer Discretionary,1.0
RECLTD,108357.0,Finance,Financial Services,Financial Services,1.0
ZOMATO,107754.0,Retailing,Consumer Services,Consumer Discretionary,0.0
GAIL,106648.0,Gas,Oil Gas & Consumable Fuels,Energy,1.0
TATAPOWER,105926.0,Power,Power,Utilities,1.0
CHOLAFIN,105794.0,Finance,Financial Services,Financial Services,1.0
PNB,105375.0,Banks,Financial Services,Financial Services,1.0
SHREECEM,103946.0,Cement & Cement Products,Construction Materials,Commodities,1.0
DIVISLAB,103750.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
AMBUJACEM,103194.0,Cement & Cement Products,Construction Materials,Commodities,1.0
TATACONSUM,101169.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
CIPLA,100919.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
ABB,98982.0,Electrical Equipment,Capital Goods,Industrials,1.0
LODHA,98665.0,Realty,Realty,Consumer Discretionary,0.0
DABUR,98640.0,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
BPCL,97833.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1.0
DRREDDY,96816.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
TVSMOTOR,96348.0,Automobiles,Automobile and Auto Components,Consumer Discretionary,1.0
VEDL,95904.0,Diversified Metals,Metals & Mining,Commodities,1.0
UNIONBANK,88208.0,Banks,Financial Services,Financial Services,0.0
HAVELLS,85715.0,Consumer Durables,Consumer Durables,Consumer Discretionary,1.0
BAJAJHLDNG,85674.0,Finance,Financial Services,Financial Services,0.0
HEROMOTOCO,82873.0,Automobiles,Automobile and Auto Components,Consumer Discretionary,1.0
POLYCAB,82590.0,Industrial Products,Capital Goods,Industrials,1.0
APOLLOHOSP,82072.0,Healthcare Services,Healthcare,Healthcare,1.0
IOB,81753.0,Banks,Financial Services,Financial Services,0.0
MCDOWELL-N,81172.0,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
MANKIND,79477.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
CANBK,79268.0,Banks,Financial Services,Financial Services,1.0
TORNTPHARM,77944.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
IDEA,77888.0,Telecom - Services,Telecommunication,Telecommunication,1.0
SHRIRAMFIN,77209.0,Finance,Financial Services,Financial Services,1.0
ICICIPRULI,77057.0,Insurance,Financial Services,Financial Services,1.0
JINDALSTEL,76201.0,Ferrous Metals,Metals & Mining,Commodities,1.0
SRF,73463.0,Chemicals & Petrochemicals,Chemicals,Commodities,1.0
IDBI,72364.0,Banks,Financial Services,Financial Services,0.0
SBICARD,72353.0,Finance,Financial Services,Financial Services,1.0
MARICO,70799.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
IRCTC,70640.0,Leisure Services,Consumer Services,Consumer Discretionary,1.0
BERGEPAINT,70473.0,Consumer Durables,Consumer Durables,Consumer Discretionary,1.0
ICICIGI,70151.0,Insurance,Financial Services,Financial Services,1.0
ZYDUSLIFE,69716.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
CGPOWER,69033.0,Electrical Equipment,Capital Goods,Industrials,0.0
MOTHERSON,68848.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,1.0
COLPAL,68721.0,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1.0
TIINDIA,68454.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
HDFCAMC,68453.0,Capital Markets,Financial Services,Financial Services,1.0
JSWENERGY,67267.0,Power,Power,Utilities,0.0
BHEL,67239.0,Electrical Equipment,Capital Goods,Industrials,1.0
MAXHEALTH,66667.0,Healthcare Services,Healthcare,Healthcare,0.0
NAUKRI,66387.0,Retailing,Consumer Services,Consumer Discretionary,1.0
BOSCHLTD,65620.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,1.0
NHPC,64991.0,Power,Power,Utilities,0.0
AUROPHARMA,63598.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
IDFCFIRSTB,62753.0,Banks,Financial Services,Financial Services,1.0
INDHOTEL,62235.0,Leisure Services,Consumer Services,Consumer Discretionary,1.0
ALKEM,62162.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
YESBANK,61550.0,Banks,Financial Services,Financial Services,0.0
NMDC,61323.0,Minerals & Mining,Metals & Mining,Commodities,1.0
SOLARINDS,60945.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
LUPIN,60331.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1.0
MUTHOOTFIN,59014.0,Finance,Financial Services,Financial Services,1.0
BHARATFORG,57640.0,Industrial Products,Capital Goods,Industrials,1.0
SUPREMEIND,57416.0,Industrial Products,Capital Goods,Industrials,0.0
PERSISTENT,56848.0,IT - Software,Information Technology,Information Technology,1.0
PATANJALI,56833.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
INDIANB,56761.0,Banks,Financial Services,Financial Services,0.0
HINDPETRO,56458.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1.0
PGHH,56401.0,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
GODREJPROP,55803.0,Realty,Realty,Consumer Discretionary,1.0
LTTS,55515.0,IT - Services,Information Technology,Information Technology,1.0
MRF,54838.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,1.0
CUMMINSIND,54520.0,Industrial Products,Capital Goods,Industrials,1.0
TATAELXSI,54336.0,IT - Software,Information Technology,Information Technology,0.0
GICRE,54036.0,Insurance,Financial Services,Financial Services,0.0
INDUSTOWER,53360.0,Telecom - Services,Telecommunication,Telecommunication,1.0
PIIND,53268.0,Fertilizers & Agrochemicals,Chemicals,Commodities,1.0
ASHOKLEY,53188.0,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,1.0
AUBANK,52486.0,Banks,Financial Services,Financial Services,1.0
CONCOR,52305.0,Transport Services,Services,Services,1.0
FACT,52105.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
OBEROIRLTY,51886.0,Realty,Realty,Consumer Discretionary,1.0
SUZLON,51863.0,Electrical Equipment,Capital Goods,Industrials,0.0
MPHASIS,51669.0,IT - Software,Information Technology,Information Technology,1.0
ASTRAL,51335.0,Industrial Products,Capital Goods,Industrials,1.0
BANKINDIA,51286.0,Banks,Financial Services,Financial Services,0.0
SAIL,50950.0,Ferrous Metals,Metals & Mining,Commodities,1.0
TATACOMM,50516.0,Telecom - Services,Telecommunication,Telecommunication,1.0
SCHAEFFLER,50017.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
BALKRISIND,49741.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,1.0
NYKAA,49134.0,Retailing,Consumer Services,Consumer Discretionary,0.0
