SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
RELIANCE,1750283,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1
TCS,1374873,IT - Software,Information Technology,Information Technology,1
HDFCBANK,1297213,Banks,Financial Services,Financial Services,1
ICICIBANK,700333,Banks,Financial Services,Financial Services,1
INFY,640269,IT - Software,Information Technology,Information Technology,1
HINDUNILVR,624921,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1
BHARTIARTL,579043,Telecom - Services,Telecommunication,Telecommunication,1
ITC,576373,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1
SBIN,572692,Banks,Financial Services,Financial Services,1
LICI,524058,Insurance,Financial Services,Financial Services,0
LT,483841,Construction,Construction,Industrials,1
BAJFINANCE,452084,Finance,Financial Services,Financial Services,1
HCLTECH,398366,IT - Software,Information Technology,Information Technology,1
KOTAKBANK,378426,Banks,Financial Services,Financial Services,1
AXISBANK,339273,Banks,Financial Services,Financial Services,1
TITAN,327229,Consumer Durables,Consumer Durables,Consumer Discretionary,1
ASIANPAINT,325624,Consumer Durables,Consumer Durables,Consumer Discretionary,1
ADANIENT,324792,Metals & Minerals Trading,Metals & Mining,Commodities,1
MARUTI,323893,Automobiles,Automobile and Auto Components,Consumer Discretionary,1
ULTRACEMCO,302611,Cement & Cement Products,Construction Materials,Commodities,1
SUNPHARMA,302328,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,1
NTPC,301081,Power,Power,Utilities,1
BAJAJFINSV,269319,Finance,Financial Services,Financial Services,1
DMART,264198,Retailing,Consumer Services,Consumer Discretionary,0
TATAMOTORS,258983,Automobiles,Automobile and Auto Components,Consumer Discretionary,1
ONGC,258525,Oil,Oil Gas & Consumable Fuels,Energy,1
NESTLEIND,256880,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1
ADANIGREEN,253920,Power,Power,Utilities,0
WIPRO,245957,IT - Software,Information Technology,Information Technology,1
COALINDIA,231842,Consumable Fuels,Oil Gas & Consumable Fuels,Energy,1
ADANIPORTS,220982,Transport Infrastructure,Services,Services,1
POWERGRID,220099,Power,Power,Utilities,1
JSWSTEEL,214711,Ferrous Metals,Metals & Mining,Commodities,1
M&M,214509,Automobiles,Automobile and Auto Components,Consumer Discretionary,1
ADANIPOWER,201718,Power,Power,Utilities,0
BAJAJ-AUTO,193129,Automobiles,Automobile and Auto Components,Consumer Discretionary,1
HAL,187591,Aerospace & Defense,Capital Goods,Industrials,1
LTIM,185850,IT - Software,Information Technology,Information Technology,1
IOC,183435,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1
DLF,179213,Realty,Realty,Consumer Discretionary,1
TATASTEEL,171302,Ferrous Metals,Metals & Mining,Commodities,1
VBL,160713,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0
JIOFIN,148000,Finance,Financial Services,Financial Services,0
SBILIFE,143388,Insurance,Financial Services,Financial Services,1
SIEMENS,143018,Electrical Equipment,Capital Goods,Industrials,1
GRASIM,140411,Cement & Cement Products,Construction Materials,Commodities,1
HDFCLIFE,138976,Insurance,Financial Services,Financial Services,1
HINDALCO,138035,Non - Ferrous Metals,Metals & Mining,Commodities,1
PIDILITIND,137836,Chemicals & Petrochemicals,Chemicals,Commodities,1
HINDZINC,134281,Non - Ferrous Metals,Metals & Mining,Commodities,0
BEL,134134,Aerospace & Defense,Capital Goods,Industrials,1
IRFC,129509,Finance,Financial Services,Financial Services,0
BRITANNIA,128643,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,1
PFC,126196,Finance,Financial Services,Financial Services,1
TECHM,124246,IT - Software,Information Technology,Information Technology,1
INDUSINDBK,124118,Banks,Financial Services,Financial Services,1
BANKBARODA,119381,Banks,Financial Services,Financial Services,1
ADANIENSOL,116357,Power,Power,Utilities,0
